county_fips_full,county_name,state,year,period,value,chg1,yoy,index_base100,freq,metric,source
06053,Monterey,CA,2024,2024-12-31,2054.63,0.052301908825050925,0.052301908825050925,452.342477213685,A,hpi,hpi_at_county.csv
06055,Napa,CA,2024,2024-12-31,2055.76,0.03708412157901386,0.03708412157901386,483.99293702177755,A,hpi,hpi_at_county.csv
06057,Nevada,CA,2024,2024-12-31,1136.7,0.01873095536834568,0.01873095536834568,379.8369310967052,A,hpi,hpi_at_county.csv
06059,Orange,CA,2024,2024-12-31,2187.12,0.0835480163291189,0.0835480163291189,449.25744099583017,A,hpi,hpi_at_county.csv
06061,Placer,CA,2024,2024-12-31,1413.83,0.03164630853873884,0.03164630853873884,401.3483975359809,A,hpi,hpi_at_county.csv
06063,Plumas,CA,2024,2024-12-31,608.4,-0.05976169502526785,-0.05976169502526785,359.10754338330776,A,hpi,hpi_at_county.csv
06065,Riverside,CA,2024,2024-12-31,1563.83,0.05840112619624516,0.05840112619624516,411.27445823690294,A,hpi,hpi_at_county.csv
06067,Sacramento,CA,2024,2024-12-31,1521.99,0.037887931916286366,0.037887931916286366,419.6393614381428,A,hpi,hpi_at_county.csv
06069,San Benito,CA,2024,2024-12-31,1807.88,0.0216897428652163,0.0216897428652163,369.8457509921853,A,hpi,hpi_at_county.csv
06071,San Bernardino,CA,2024,2024-12-31,1690.41,0.05357599177288175,0.05357599177288175,422.4651988103867,A,hpi,hpi_at_county.csv
06073,San Diego,CA,2024,2024-12-31,2165.13,0.07469820910931979,0.07469820910931979,502.44360902255636,A,hpi,hpi_at_county.csv
06075,San Francisco,CA,2024,2024-12-31,2720.94,0.027650100274574818,0.027650100274574818,437.0145514117761,A,hpi,hpi_at_county.csv
06077,San Joaquin,CA,2024,2024-12-31,1306.2,0.043507437646795655,0.043507437646795655,375.4958891508078,A,hpi,hpi_at_county.csv
06079,San Luis Obispo,CA,2024,2024-12-31,2629.12,0.025733859766850387,0.025733859766850387,446.26404589740974,A,hpi,hpi_at_county.csv
06081,San Mateo,CA,2024,2024-12-31,2641.38,0.028074340760922523,0.028074340760922523,454.2902842990558,A,hpi,hpi_at_county.csv
06083,Santa Barbara,CA,2024,2024-12-31,2520.53,0.058654783105406505,0.058654783105406505,422.48240026818644,A,hpi,hpi_at_county.csv
06085,Santa Clara,CA,2024,2024-12-31,2983.76,0.05592910833345144,0.05592910833345144,493.2650024797487,A,hpi,hpi_at_county.csv
06087,Santa Cruz,CA,2024,2024-12-31,2416.52,0.02526983911479186,0.02526983911479186,435.27568132283807,A,hpi,hpi_at_county.csv
