GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C8J001,C8O001
"G2900730","1980","A","2","4","Missouri","29",,"Gasconade","073",,,,,,,,,,,,,"06",,,,,,,,"GASCONADE COUNTY","0","0","1","1","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0",26300,97
"G2900750","1980","A","2","4","Missouri","29",,"Gentry","075",,,,,,,,,,,,,"02",,,,,,,,"GENTRY COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0",21500,92
"G2900770","1980","A","2","4","Missouri","29","7920","Greene","077",,,,,,,,,,,,,"C",,,,,,,,"GREENE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",36200,160
"G2900790","1980","A","2","4","Missouri","29",,"Grundy","079",,,,,,,,,,,,,"02",,,,,,,,"GRUNDY COUNTY","0","0","1","0","1","0","1","0","0","0","0","1","0","1","1","0","0","0","0","1","0",22600,109
"G2900810","1980","A","2","4","Missouri","29",,"Harrison","081",,,,,,,,,,,,,"02",,,,,,,,"HARRISON COUNTY","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0",16400,82
"G2900830","1980","A","2","4","Missouri","29",,"Henry","083",,,,,,,,,,,,,"03",,,,,,,,"HENRY COUNTY","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",26200,109
"G2900850","1980","A","2","4","Missouri","29",,"Hickory","085",,,,,,,,,,,,,"05",,,,,,,,"HICKORY COUNTY","0","0","1","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0",26900,91
"G2900870","1980","A","2","4","Missouri","29",,"Holt","087",,,,,,,,,,,,,"01",,,,,,,,"HOLT COUNTY","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",19200,87
"G2900890","1980","A","2","4","Missouri","29",,"Howard","089",,,,,,,,,,,,,"02",,,,,,,,"HOWARD COUNTY","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",25300,101
"G2900910","1980","A","2","4","Missouri","29",,"Howell","091",,,,,,,,,,,,,"07",,,,,,,,"HOWELL COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",26800,100
